JESE,-121.31667,45.24221,-0.592
JRO,-122.21780,46.27510,-1.280
JUN,-122.15243,46.14706,-1.049
KCAM,-122.31850,47.54400,-0.005
KDK,-122.33223,47.59520,-0.004
KEEL,-122.89632,45.55006,-0.067
KENT,-120.63510,45.23570,-0.780
KICC,-122.63121,47.57718,-0.017
KIMB,-122.30280,47.57480,-0.069
KIMR,-122.76722,47.50306,-0.123
KINR,-122.64306,47.75167,-0.008
KITP,-122.62974,47.67520,-0.049
KMO,-123.49073,45.63533,-0.975
KNEL,-122.25193,47.38052,-0.014
KNJH,-122.22833,47.38472,-0.014
KOS,-122.19602,46.46280,-0.610
LAWT,-122.39062,47.65694,-0.049
LCCR,-122.47840,45.20590,-0.273
LCW,-122.70201,46.67049,-0.396
LEBA,-123.56320,46.54590,-0.073
LEOT,-122.11560,47.76790,-0.115
LMW,-122.29255,46.66783,-1.195
LO2,-121.80960,46.75060,-0.853
LOC,-119.43197,46.71686,-0.210
LON,-121.80960,46.75060,-0.853
LRIV,-123.50400,48.05750,-0.294
LTH,-119.41768,46.46170,-0.157
LTY,-120.66636,47.25451,-0.807
LVP,-122.40193,46.06595,-1.130
LYNC,-122.29384,47.82555,-0.019
MA05,-122.22619,46.75467,-0.488
MARY,-122.12068,47.66334,-0.012
MAUP,-121.07912,45.17620,-0.318
MB05,-122.28102,46.62087,-0.641
MB07,-122.04239,46.62378,-0.878
MBPA,-121.89018,47.89835,-0.186
MC06,-122.15720,46.55202,-0.770
MC08,-121.96322,46.55335,-0.653
MD05,-122.27817,46.52316,-0.718
MD09,-121.70671,46.50288,-0.959
MD12,-121.22067,46.47694,-1.496
MDW,-119.76215,46.61302,-0.330
ME02,-122.70734,46.43916,-0.158
ME03,-122.57647,46.45207,-0.310
ME04,-122.35194,46.45061,-0.730
ME06,-122.19697,46.46329,-0.643
ME08,-121.86564,46.46195,-0.598
MEAN,-122.30542,47.62259,-0.110
MEGW,-123.87709,46.26609,-0.351
MEW,-122.64707,47.20176,-0.097
